type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
multi_model,2,clip_dino,CLIP + DINO,clip + dino,stacking,5,0.9964123038399644,0.0004641626274567,0.9789892985349103,0.0029300885373216,0.9366490234263642,0.0045269775978679,0.8467960450021159,0.0090552587322699,0.8515007228293092,0.0107577081026731,0.8668571674873297,0.0106560829310374,0.7605478518469664,0.0115666537483728,0.7587601112103509,0.0136105721319112,-0.0697918559390345,0.0078496049807045,0.8225895187171484,0.0172265986969763
multi_model,2,clip_dino,CLIP + DINO,clip + dino,geometric,5,0.9963432612634896,0.000574604349086,0.97383468034717,0.0032069456010477,0.9395637852244786,0.0057659813269864,0.8600097830686959,0.0082300552999597,0.8678307799956789,0.0080541821118061,0.8780549814065861,0.0109877136025827,0.7857969628518195,0.0100665053359804,0.792038302774694,0.0096156078163553,-0.0615088038178923,0.0069764267622657,0.8247122403169425,0.0178243925789204
multi_model,2,clip_dino,CLIP + DINO,clip + dino,mean,5,0.9962392926565488,0.0005269252030489,0.9754253102881998,0.0041220656194595,0.9359502470792194,0.0038414444411437,0.838278179909534,0.0055106053969617,0.8418391969034935,0.0068655009721434,0.8690450580013425,0.009653966768926,0.7581900223691515,0.0084521261866203,0.7528515300471057,0.0093284102972347,-0.0669051890778769,0.0071062233140893,0.8264431770362531,0.0150357992492343
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,stacking,5,0.9962911914600088,0.0004282368288041,0.976668498876923,0.0017410950616084,0.9308550416443367,0.0028418009393978,0.8421595299730141,0.004653650032736,0.8478241888773248,0.0042405134457252,0.8585915676887856,0.0078522408546937,0.759413455566731,0.0072278527200396,0.7610024922837544,0.0059557753382531,-0.0722634739555514,0.0064024002931825,0.8064154688754573,0.0144211084675346
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,geometric,5,0.9937924069818008,0.0007389124626941,0.9642433989536044,0.0027771983243933,0.9226998127217853,0.0043396471447582,0.8296119199547121,0.0039472021667583,0.8369766269116721,0.0040828302955563,0.8561660500366075,0.0080667195341624,0.7599762568220416,0.0069883215916534,0.7703360515194465,0.0059340879884792,-0.0665337626851776,0.0049956345609991,0.7931171658115582,0.0101206119909551
multi_model,6,all_6_models,Todos os 6 Modelos Robustos,clip + dino + vit + resnet + mobilenet + xception,mean,5,0.9931941299819976,0.0006774540353226,0.9636123043097656,0.0016461900883092,0.910339596568974,0.0018562846519937,0.8215985973937465,0.0040976826432835,0.8305198961023462,0.0047027192680819,0.8326070470943858,0.0053307782280792,0.7400473764337966,0.0050474299788102,0.7520331398917454,0.0057687061643177,-0.0777325494745881,0.004027721568946,0.7817210424352645,0.0091183062118144
