type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
self_ensemble_5seeds,5,dino_5seeds,DINO (ConvNeXt-B) (5 Seeds Canônicas),"dino [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.9962265939829625,0.0,0.9762830561267075,0.0,0.9364426800835025,0.0,0.8349244560229078,0.0,0.8388014362156041,0.0,0.8619096965045866,0.0,0.7518453175924857,0.0,0.7518562281882883,0.0,-0.07453298357891591,0.0,0.7823987117254263,0.0
self_ensemble_5seeds,5,vit_5seeds,Vision Transformer (ViT-B/16) (5 Seeds Canônicas),"vit [seeds: 987, 42, 123, 2024, 7]",mean,5,0.9600413440203451,0.0,0.8961747521426681,0.0,0.8393922861245641,0.0,0.737846735587836,0.0,0.7389643509954795,0.0,0.7804307082047293,0.0,0.680275025144685,0.0,0.6718784371457096,0.0,-0.05896157791983481,0.0,0.7312609097384793,0.0
self_ensemble_5seeds,5,vit_5seeds,Vision Transformer (ViT-B/16) (5 Seeds Canônicas),"vit [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.960865875290739,0.0,0.8979594606515883,0.0,0.8403305228570155,0.0,0.738874507411499,0.0,0.7391010680651272,0.0,0.7808116771400062,0.0,0.6842816864251677,0.0,0.6788397888898828,0.0,-0.05951884571700927,0.0,0.7437284105592877,0.0
self_ensemble_5seeds,5,vit_5seeds,Vision Transformer (ViT-B/16) (5 Seeds Canônicas),"vit [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.9604021717027937,0.0,0.897036569559523,0.0,0.839667894260755,0.0,0.7367530104920663,0.0,0.7369785231434958,0.0,0.7807385497889936,0.0,0.6790384012926841,0.0,0.6692718067212613,0.0,-0.05892934447176146,0.0,0.7340252498197704,0.0
self_ensemble_5seeds,5,resnet_5seeds,ResNet-18 (5 Seeds Canônicas),"resnet [seeds: 987, 42, 123, 2024, 7]",mean,5,0.9811752895919862,0.0,0.9328596730522587,0.0,0.8618539489094961,0.0,0.7661516815336334,0.0,0.7717528914447568,0.0,0.7781602228213874,0.0,0.695894958421958,0.0,0.7056501593280029,0.0,-0.08369372608810866,0.0,0.6799141510423444,0.0
self_ensemble_5seeds,5,resnet_5seeds,ResNet-18 (5 Seeds Canônicas),"resnet [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.9793656453970381,0.0,0.9294259753126632,0.0,0.862610189320369,0.0,0.7618592227406882,0.0,0.7644305263329582,0.0,0.778775837757975,0.0,0.6942186460892458,0.0,0.7033822400409452,0.0,-0.08383435156239405,0.0,0.6837861797184555,0.0
self_ensemble_5seeds,5,resnet_5seeds,ResNet-18 (5 Seeds Canônicas),"resnet [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.9812652986038961,0.0,0.9335043396239219,0.0,0.8612549926314506,0.0,0.7636839299356406,0.0,0.7679087115875612,0.0,0.7777746651182827,0.0,0.6934272068239652,0.0,0.7009307712104315,0.0,-0.0834803275131678,0.0,0.6774944219362824,0.0
self_ensemble_5seeds,5,mobilenet_5seeds,MobileNetV3-Large (5 Seeds Canônicas),"mobilenet [seeds: 987, 42, 123, 2024, 7]",mean,5,0.9565374454627894,0.0,0.8882080305096938,0.0,0.8427972840560618,0.0,0.757616228901823,0.0,0.7727139197971479,0.0,0.7581752679087637,0.0,0.6870187472175964,0.0,0.7136204538139684,0.0,-0.08462201614729814,0.0,0.7198473857777901,0.0
self_ensemble_5seeds,5,mobilenet_5seeds,MobileNetV3-Large (5 Seeds Canônicas),"mobilenet [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.9551824814843608,0.0,0.8854189993417615,0.0,0.8420376692206626,0.0,0.7556761034806839,0.0,0.7700758241871916,0.0,0.7572379444345972,0.0,0.6863317339664847,0.0,0.7145179604924191,0.0,-0.08479972478606534,0.0,0.7236662884878912,0.0
self_ensemble_5seeds,5,mobilenet_5seeds,MobileNetV3-Large (5 Seeds Canônicas),"mobilenet [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.9566861438713127,0.0,0.8886491181639896,0.0,0.8424397321993762,0.0,0.7552034383639191,0.0,0.7672522809694512,0.0,0.7577093142078763,0.0,0.6843146630612211,0.0,0.7054914628518689,0.0,-0.08473041799149983,0.0,0.7207934347565788,0.0
self_ensemble_5seeds,5,xception_5seeds,Xception (5 Seeds Canônicas),"xception [seeds: 987, 42, 123, 2024, 7]",mean,5,0.8581763406441215,0.0,0.774651710402204,0.0,0.7631541729452762,0.0,0.6987639257586,0.0,0.7424546432783712,0.0,0.6896362453844318,0.0,0.6529099133264082,0.0,0.7092235155444232,0.0,-0.07351792756084441,0.0,0.68271640337503,0.0
self_ensemble_5seeds,5,xception_5seeds,Xception (5 Seeds Canônicas),"xception [seeds: 987, 42, 123, 2024, 7]",geometric,5,0.8579446562265566,0.0,0.7744549174487491,0.0,0.7621145574421548,0.0,0.6972195199701012,0.0,0.7422617710906505,0.0,0.6890065231081534,0.0,0.6520195441529676,0.0,0.7114746627779803,0.0,-0.07310803433400148,0.0,0.6844983768186856,0.0
self_ensemble_5seeds,5,xception_5seeds,Xception (5 Seeds Canônicas),"xception [seeds: 987, 42, 123, 2024, 7]",stacking,5,0.8590489610928923,0.0,0.7752149454069204,0.0,0.762822501309371,0.0,0.6983297333838975,0.0,0.7439877609656896,0.0,0.6897561775621543,0.0,0.6526021313899103,0.0,0.7106629191881277,0.0,-0.07306632374721667,0.0,0.6793138683048143,0.0
mega_ensemble_30models,30,super_ensemble_30m,Super-Ensemble Robusto Global (30 Redes: 6 Arquiteturas x 5 Seeds),CLIP + DINO + ViT + ResNet + MobileNet + Xception (Todas 5 seeds),mean,5,0.9948369833757162,0.0,0.9677870293085782,0.0,0.9168912827167572,0.0,0.8252677977652833,0.0,0.8336559893680476,0.0,0.8392187812525831,0.0,0.7425019373773681,0.0,0.7540436254823214,0.0,-0.07767250146417415,0.0,0.7877228935294136,0.0
mega_ensemble_30models,30,super_ensemble_30m,Super-Ensemble Robusto Global (30 Redes: 6 Arquiteturas x 5 Seeds),CLIP + DINO + ViT + ResNet + MobileNet + Xception (Todas 5 seeds),geometric,5,0.9950944919790524,0.0,0.9675698784633864,0.0,0.9275700978559278,0.0,0.8382550962642967,0.0,0.8466976094849635,0.0,0.8621699917878013,0.0,0.7676850951101145,0.0,0.780795419776071,0.0,-0.06540010606812652,0.0,0.8011303253004596,0.0
mega_ensemble_30models,30,super_ensemble_30m,Super-Ensemble Robusto Global (30 Redes: 6 Arquiteturas x 5 Seeds),CLIP + DINO + ViT + ResNet + MobileNet + Xception (Todas 5 seeds),stacking,5,0.9982371477683376,0.0,0.9848537285478716,0.0,0.9426290695985544,0.0,0.858266418242675,0.0,0.8637213972414522,0.0,0.8752066664905686,0.0,0.7730273101507582,0.0,0.7725748272159044,0.0,-0.06742240310798586,0.0,0.8174424538397187,0.0
