model_family,seed,regime,val_auc,test_auc,test_acc,test_f1,test_d_auc,test_d_acc,test_d_f1,df40_auc,delta_auc,elapsed_min,cached
vit,42,finetune_robust,0.9486,0.82,0.7363,0.7468,0.7619,0.6843,0.6939,0.7257,-0.0581,596.3,False
vit,123,finetune_robust,0.948,0.8253,0.7383,0.7465,0.7647,0.685,0.6938,0.7118,-0.0605,619.0,False
vit,2024,finetune_robust,0.9519,0.8213,0.7332,0.7386,0.7645,0.6823,0.6852,0.7486,-0.0568,876.9,False
vit,7,finetune_robust,0.9458,0.8305,0.7428,0.7524,0.7713,0.6879,0.6939,0.6964,-0.0592,530.3,False
vit,2025,finetune_robust,0.9463,0.8163,0.7293,0.7363,0.7571,0.6785,0.6885,0.7321,-0.0592,549.5,False
mobilenet,42,finetune_robust,0.9472,0.8362,0.7405,0.7427,0.7518,0.6749,0.6864,0.7096,-0.0844,261.1,False
mobilenet,123,finetune_robust,0.945,0.8296,0.7345,0.7345,0.7506,0.6688,0.6712,0.6735,-0.079,276.3,False
mobilenet,2024,finetune_robust,0.9433,0.8265,0.7282,0.7263,0.7405,0.6627,0.6679,0.7056,-0.086,261.2,False
mobilenet,7,finetune_robust,0.9483,0.8242,0.7288,0.7299,0.7449,0.66,0.6553,0.6985,-0.0793,265.5,False
mobilenet,2025,finetune_robust,0.9446,0.8396,0.7451,0.7468,0.7569,0.6761,0.6831,0.718,-0.0827,292.3,False
xception,42,finetune_robust,0.8507,0.7559,0.6915,0.7417,0.6817,0.6485,0.7076,0.6556,-0.0742,288.0,False
xception,123,finetune_robust,0.8538,0.7556,0.6924,0.732,0.6869,0.6468,0.6986,0.6736,-0.0687,289.5,False
xception,2024,finetune_robust,0.8468,0.7545,0.6898,0.737,0.6843,0.6478,0.7074,0.68,-0.0702,291.0,False
xception,7,finetune_robust,0.8438,0.7524,0.6869,0.7361,0.6811,0.6433,0.7149,0.6793,-0.0713,296.0,False
xception,2025,finetune_robust,0.8497,0.7542,0.6902,0.7435,0.6912,0.6474,0.7171,0.6704,-0.063,293.2,False
