model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,celeb_df_video,0.47018175809649704,0.05966366304164797,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
clip,concat,finetune,celeb_df_video,0.638734302709848,0.03030611150183164,0.5073359073359074,0.09303937840677037,0.4525053844309066,0.2165953917732708,0.7892003486062892,0.061007025603544505,0.37,0.26611065159578556,0.7696629213483146,0.2535880629953341,0.0,0.0
clip,concat_frequency,finetune,celeb_df_video,0.4301222736285525,0.028304400872956614,0.33320463320463317,0.007300258842157917,0.493576807351943,0.011836410724881813,0.3339058273334693,0.006523053798639605,0.9460674157303369,0.034767974037675925,0.012352941176470561,0.008161433485595044,0.0,0.0
clip,frequency_3,finetune,celeb_df_video,0.5730667547918044,0.010882159003263378,0.6498069498069498,0.010713850907730988,0.7828783159476382,0.011107205143798505,0.6598678350181,0.0039028940050786463,0.9629411764705882,0.03489975758633258,0.051685393258426915,0.042489146968964144,0.0,0.0
clip,magnitude,finetune,celeb_df_video,0.5158030403172505,0.014325602561239685,0.6521235521235521,0.007145465453019968,0.7860019765067616,0.005804415157170208,0.6591027259618472,0.0029257843406180956,0.973529411764706,0.015423659531913936,0.038202247191011195,0.01749709157572745,0.0,0.0
clip,none,finetune,celeb_df_video,0.7134721304252037,0.02834436971736135,0.5257400257400257,0.14156078125133933,0.44576616340457537,0.27305495901664595,0.8318315317650279,0.07230656322782499,0.3803921568627451,0.3296200322016312,0.8033707865168539,0.23539258802296528,0.0,0.0
clip,none,finetune_robust,celeb_df_video,0.6697317691121393,0.01440378802973606,0.6483268983268983,0.026872605363978272,0.7300227710166954,0.04369004247612513,0.7331915526940335,0.018274823812891694,0.7348039215686274,0.09831480872566223,0.48314606741573035,0.11213460629100813,0.0,0.0
clip,phase,finetune,celeb_df_video,0.5593456708526107,0.029269795097562955,0.672972972972973,0.005887239645550901,0.7940187518696252,0.009078808230180622,0.6770763874150253,0.012292231044220715,0.9617647058823529,0.04603669365440744,0.12134831460674153,0.08762964496926665,0.0,0.0
dino,complex,finetune,celeb_df_video,0.5039755452742896,0.023530744250303937,0.5938223938223939,0.1398621669324193,0.6340326340326341,0.3544350174125541,0.5250965250965252,0.2935378812161886,0.8,0.4472135954999579,0.2,0.447213595499958,0.0,0.0
dino,concat,finetune,celeb_df_video,0.6963813615333774,0.020564019350795326,0.6617760617760617,0.028451171315738277,0.7699450994219945,0.06488252504404882,0.6949337740868187,0.05245647070632592,0.9005882352941177,0.19139580178566215,0.20561797752808983,0.28523617724349726,0.0,0.0
dino,concat_frequency,finetune,celeb_df_video,0.36641440846001316,0.0191958222920561,0.3266409266409266,0.017555895821451208,0.47513664056874105,0.034596292205624955,0.3241649174502324,0.01875455734663633,0.8910112359550562,0.1016372721197989,0.03117647058823524,0.029675290013245714,0.0,0.0
dino,frequency_3,finetune,celeb_df_video,0.5466953073364177,0.028833568954175257,0.6517374517374518,0.003230347592795639,0.7880598168561719,0.0023912532841866307,0.6561017840308478,0.0012685252955085746,0.9864705882352942,0.0053429123895837915,0.01235955056179768,0.004700337227719536,0.0,0.0
dino,magnitude,finetune,celeb_df_video,0.516827495042961,0.0232553719909639,0.6498069498069499,0.005726794198529474,0.7863040929969621,0.005164641998161037,0.6557882376700976,0.001069175092867211,0.9817647058823529,0.014318425228985984,0.01573033707865162,0.011513427826920922,0.0,0.0
dino,none,finetune,celeb_df_video,0.7239535139898656,0.07715713577269297,0.6782496782496783,0.036171376664922136,0.7854328282087729,0.03314793850092594,0.6975081706834572,0.021591605775119514,0.9034313725490196,0.08342613056963856,0.24812734082397,0.12253975374096536,0.0,0.0
dino,none,finetune_robust,celeb_df_video,0.6557061026657854,0.02198940528311571,0.6685971685971687,0.006537155778224065,0.793539298375627,0.00401988885046993,0.6714922152453932,0.009440022116098939,0.9705882352941176,0.026306682088232836,0.09176029962546813,0.06212037000438721,0.0,0.0
dino,phase,finetune,celeb_df_video,0.6254957038995373,0.01847162095540045,0.6583011583011583,0.002364372338593817,0.7928859091326255,0.0012960130577845564,0.658378532566879,0.001527272979048193,0.9964705882352941,0.0024607647839237396,0.01235955056179768,0.00732494652269962,0.0,0.0
mobilenet,complex,finetune,celeb_df_video,0.5609517514871117,0.012953016807572432,0.3667953667953668,0.009843667014657904,0.09312618116901264,0.037868524735710375,0.777052577052577,0.028503210907988134,0.049999999999999975,0.021412087909648592,0.9719101123595506,0.013175325168043319,0.0,0.0
mobilenet,concat,finetune,celeb_df_video,0.5691920026437541,0.019439582477634616,0.3945945945945946,0.009710251999968564,0.23877336063533364,0.03381755031820936,0.6836175135323904,0.025916848719157462,0.1452941176470588,0.02439581335685613,0.8707865168539325,0.026648407248609892,0.0,0.0
mobilenet,concat_frequency,finetune,celeb_df_video,0.41469266358228685,0.0219922405463923,0.5772200772200773,0.026222157735919134,0.1885150906614304,0.021290727332674494,0.2815847920195746,0.0346180986125969,0.1438202247191011,0.02592804664991984,0.8041176470588235,0.050925687089486894,0.0,0.0
mobilenet,dtcwt,finetune_robust,celeb_df_video,0.5776602775941837,,0.581081081081081,,0.667687595712098,,0.6964856230031949,,0.6411764705882353,,0.4662921348314606,,0.0,
mobilenet,frequency_3,finetune,celeb_df_video,0.576867151354924,0.01987791522975279,0.4467181467181467,0.03789393839685578,0.36842039468551924,0.10297990057336459,0.7241117137036827,0.016790049111002507,0.25470588235294117,0.09711673851429513,0.8134831460674157,0.07737731634472421,0.0,0.0
mobilenet,magnitude,finetune,celeb_df_video,0.5512690019828155,0.012770063243768849,0.45984555984555986,0.0767772049237109,0.41258361760220225,0.18195089250641328,0.6819493072772597,0.016190916575389683,0.3247058823529411,0.2052679909213461,0.7179775280898877,0.1691655034414573,0.0,0.0
mobilenet,none,finetune,celeb_df_video,0.6731631416611589,0.01860589343103314,0.6805019305019305,0.014941137120377876,0.77045458882407,0.020764210259385945,0.728364484526013,0.012332995428729444,0.8205882352941177,0.061017894023011436,0.41292134831460664,0.07911181618231362,0.0,0.0
mobilenet,none,finetune_robust,celeb_df_video,0.6860652126018946,0.013586916112419956,0.6953024453024453,0.006033140274560778,0.7952600746965337,0.011503884049620825,0.7120012722575598,0.020153022301289507,0.903921568627451,0.05441308954401956,0.296816479400749,0.10257489568322517,0.0,0.0
mobilenet,phase,finetune,celeb_df_video,0.5513317911434237,0.01372550699359641,0.34285714285714286,0.0010573794546431714,0.00692642134896968,0.00948440949644871,0.1857142857142857,0.25555062599997597,0.0035294117647058803,0.004832846095633816,0.9910112359550561,0.010205562991339857,0.0,0.0
mobilenet,srm,finetune_robust,celeb_df_video,0.713995373430271,,0.7046332046332047,,0.8099378881987578,,0.7010752688172043,,0.9588235294117649,,0.2191011235955056,,0.0,
resnet,complex,finetune,celeb_df_video,0.589216787838731,0.05917375614840988,0.5602316602316602,0.1296127552243252,0.5748542560411984,0.29877632273467275,0.6929946929318577,0.014678314524525784,0.6052941176470588,0.37650160717799397,0.47415730337078654,0.34372198787518693,0.0,0.0
resnet,concat,finetune,celeb_df_video,0.6493555849306014,0.027269629107679005,0.6397683397683398,0.03378654153112794,0.7266706088518637,0.05234341956938888,0.7233071013032302,0.04392758737820859,0.7482352941176471,0.1484726158153713,0.4325842696629213,0.21946095488342263,0.0,0.0
resnet,concat_frequency,finetune,celeb_df_video,0.3859500991407799,0.01857935295164261,0.33513513513513515,0.00999396069926235,0.47304185125157894,0.035274026786145295,0.32477395998635317,0.015617093239414077,0.8752808988764045,0.12195023416822595,0.05235294117647056,0.0722057325983831,0.0,0.0
resnet,dtcwt,finetune_robust,celeb_df_video,0.6492233972240581,,0.5694980694980695,,0.6094570928196147,,0.7532467532467533,,0.5117647058823529,,0.6797752808988764,,0.0,
resnet,frequency_3,finetune,celeb_df_video,0.5288152676801058,0.02114198794651202,0.5972972972972973,0.05711480580395789,0.7128190836243036,0.08879387771008662,0.6608423913038626,0.007764619704297932,0.7958823529411765,0.18307022117852192,0.2179775280898876,0.18756810823771528,0.0,0.0
resnet,magnitude,finetune,celeb_df_video,0.5311070720423,0.0251813097688787,0.6177606177606177,0.031128408294589023,0.7412807368065039,0.03690040415109496,0.6648940625902207,0.00672967802230015,0.8423529411764706,0.09536399036030026,0.18876404494382018,0.0973548660996908,0.0,0.0
resnet,magnitude,scratch,celeb_df_video,0.5558773959021811,0.03283578950024393,0.6428571428571429,0.015623951791736163,0.7690965360872716,0.022022146662637902,0.6678023242733625,0.01434966007801131,0.9111764705882355,0.07754895763612708,0.13033707865168537,0.1174009452548143,0.0,0.0
resnet,none,finetune,celeb_df_video,0.7235183961224939,0.03778719705615428,0.6624839124839125,0.08353892539392721,0.7134297551390198,0.12713506487294587,0.7780310163218042,0.046507749841112896,0.6990196078431373,0.22282914045567928,0.5926966292134831,0.19030769310061038,0.0,0.0
resnet,none,finetune_robust,celeb_df_video,0.6511593963428068,0.03300943083770079,0.686936936936937,0.012112521521186604,0.788751909681661,0.016785623321882093,0.7080919148010832,0.018391659956716645,0.8941176470588235,0.06655122646461623,0.2911985018726591,0.11148064488239363,0.0,0.0
resnet,none,scratch,celeb_df_video,0.5540680766688698,0.013337492513843597,0.35868725868725865,0.0053569254538654775,0.046973447021982064,0.013936220803016671,0.9492063492063492,0.07045187625768938,0.0241176470588235,0.007323470351758075,0.997752808988764,0.003077093019692018,0.0,0.0
resnet,phase,finetune,celeb_df_video,0.6368473231989425,0.01276093389779659,0.6088803088803089,0.09643432024944203,0.6554009569553301,0.1966138739814613,0.7391247971197777,0.04991650789455319,0.6588235294117647,0.2795433126866391,0.5134831460674156,0.2608157790417344,0.0,0.0
